date,northern_flow,sjr_flow,exports,dxc,net_delta_cu,daily_max-min,sjr_vernalis_ec,sac_greens_ec
9/1/2013,17094.7,598,9818,1,2573.47,5,595,184
9/2/2013,16905.24,598,9396,1,1782.8,4.9,586,182
9/3/2013,16561.46,593,8864,1,2263.95,4.9,612,182
9/4/2013,16493.31,528,8930,1,2313.64,5,546,181
9/5/2013,16677.12,502,8773,1,2331.04,4.8,510,178
9/6/2013,16881.03,557,8431,1,2539.78,4.6,450,181
9/7/2013,16814.02,596,7981,1,2851.16,4.5,527,178
9/8/2013,16460.64,702,8274,1,2804.72,4.6,560,178
9/9/2013,15936.13,735,8474,1,2868.41,4.7,594,179
9/10/2013,14596.66,644,7594,1,2115.08,4.9,600,179
9/11/2013,14548.68,577,6753,1,1683,4.6,566,176
9/12/2013,13899.06,621,6018,1,2027.34,4.8,512,189
9/13/2013,13205.2,622,5587,1,2274.26,4.8,498,189
9/14/2013,12857.11,639,5022,1,2041.1,5.1,490,191
9/15/2013,12843.67,675,4354,1,2115.6,5.2,594,188
9/16/2013,13135.82,703,4638,1,2183.46,5.2,619,180
9/17/2013,12707.36,658,5295,1,1870.76,4.9,610,176
9/18/2013,12312.86,645,5887,1,2101.84,5,589,167
9/19/2013,11951.38,638,5792,1,2298.28,4.8,578,167
9/20/2013,10637.45,647,5468,1,1836.88,4.8,635,171
9/21/2013,10321.83,732,6003,1,737.35,4.8,645,177
9/22/2013,11246.04,957,6051,1,1443.8,4.9,603,173
9/23/2013,11299.66,1161,6498,1,1774.73,4.8,400,166
9/24/2013,11001.02,1296,7256,1,1366.43,4.4,319,169
9/25/2013,10889.84,1393,7039,1,1097.03,4.2,310,170
9/26/2013,11164.89,1398,7588,1,1534.19,4.1,323,169
9/27/2013,10779.68,1436,6003,1,1743.8,4.1,312,164
9/28/2013,10517.62,1508,6030,1,1987.7,4.1,283,164
9/29/2013,10203.67,1425,5437,1,1639.78,4.3,299,155
9/30/2013,10081.08,1211,5449,1,1554.27,4.2,404,154
10/1/2013,9862.55,1061,4912,1,1794.9,4.1,498,151
10/2/2013,9360.75,997,4905,1,1979.97,4.2,547,151
10/3/2013,9635.55,940,4201,1,1807.85,4.3,578,159
10/4/2013,9037.41,965,4855,1,2050.81,4.6,623,154
10/5/2013,8379.45,980,4234,1,1964.5,5,578,154
10/6/2013,8519.18,984,4236,1,2193.01,5.1,577,158
10/7/2013,8345.01,975,4243,1,2083.75,5.5,607,154
10/8/2013,8668.08,964,3777,0.67,1889.1,5.5,639,159
10/9/2013,8574.11,955,3795,0,1688.79,5.5,579,153
10/10/2013,8447.06,910,3898,0.37,1806.28,5.3,611,154
10/11/2013,8325.43,913,3883,1,1802.13,5,658,158
10/12/2013,8201.19,951,3778,1,1844.84,5.1,613,152
10/13/2013,8518.86,972,3754,1,1759.71,4.7,645,149
10/14/2013,8024.53,963,3749,1,1856.9,4.7,665,152
10/15/2013,7917.74,1054,3788,1,1888.68,4.9,620,148
10/16/2013,7956.95,1212,3774,1,1808.48,4.7,509,149
10/17/2013,7707.53,1225,3742,0.39,1880.45,5,516,160
10/18/2013,7548.71,1218,3723,0.38,1803.43,5.3,541,155
10/19/2013,7226.62,1132,3513,1,1750.11,5.4,630,154
10/20/2013,6921.77,1199,3456,1,1701.97,5.5,629,154
10/21/2013,6828.79,1216,3495,0.41,1679.78,5.4,577,153
10/22/2013,7297.81,1178,3354,0,1836.97,5.1,571,151
10/23/2013,6714.85,1215,2770,0,1773.62,4.9,546,155
10/24/2013,7030.81,1524,2109,0,1479.76,4.5,465,156
10/25/2013,7269.41,2242,2395,0,1611.47,4.1,312,155
10/26/2013,6918.75,2511,2393,0,1720.26,3.9,294,165
10/27/2013,5276.49,2642,2668,0,1559.57,4.2,295,165
10/28/2013,7731.83,2671,2192,0,1369.16,3.5,248,166
10/29/2013,8030.13,2575,1755,0,1366.76,3.9,223,154
10/30/2013,8200.99,2306,2843,0,1461.84,4.2,242,165
10/31/2013,8776.06,2012,4843,0.57,1264.85,4.6,283,174
11/1/2013,9006.61,1739,3412,1,2850.36,5.1,347,176
11/2/2013,9212.59,1578,3870,1,2788.82,5.5,423,175
11/3/2013,10143.71,1430,3965,1,2441.98,5.9,486,170
11/4/2013,10070.56,1343,4954,0.42,2652.83,6.3,554,166
11/5/2013,9898.21,1277,5040,0,2754.97,6.3,604,161
11/6/2013,9602.94,1221,5069,0,2741.99,6.2,622,161
11/7/2013,9351.18,1170,5663,0,2797.95,5.9,652,158
11/8/2013,9544.3,1131,4982,0.58,2759.63,5.4,689,161
11/9/2013,9391.45,1096,5170,1,2751.21,5.1,738,162
11/10/2013,9151.44,1080,5167,1,2657.13,4.7,735,171
11/11/2013,9172.35,1080,4485,1,2658.56,4.8,744,171
11/12/2013,8835.1,1069,4593,0.43,2622.92,4.7,744,183
11/13/2013,8639.56,1065,4589,0,2779.88,4.8,737,189
11/14/2013,8431.97,1060,5207,0,2567.5,5.2,718,188
11/15/2013,8498.46,1040,4110,0.64,2586.04,5.5,718,186
11/16/2013,8479.38,1042,3559,1,2525.95,5.8,724,198
11/17/2013,8609.37,1044,4057,1,2522.46,5.9,718,190
11/18/2013,8391.05,1046,4027,0.41,2485.18,5.8,705,195
11/19/2013,8508.38,1048,4789,0,1442.61,5.4,716,198
11/20/2013,8790.03,1092,2631,0,-575.63,5.2,695,207
11/21/2013,9954.11,1307,2429,0,-1410.75,5.1,658,201
11/22/2013,9228.34,1247,2274,0.47,-850.93,4.5,652,207
11/23/2013,9306.6,1185,2048,1,-1049.78,4.1,716,217
11/24/2013,9055.31,1137,2786,1,-225,4,726,230
11/25/2013,9153.66,1104,2164,0.42,1918.06,4,753,215
11/26/2013,8693,1074,3043,0,2402.37,3.9,776,221
11/27/2013,8514.87,1073,2449,0.57,2471.75,4,779,220
11/28/2013,8209.66,1076,2573,1,2586.56,4.3,773,215
11/29/2013,8553.84,1095,2531,1,2559.99,4.9,795,219
11/30/2013,8512.45,1108,2534,1,2544.34,5.4,812,215
12/1/2013,8443.27,1113,2583,0.47,2430.71,5.9,820,210
12/2/2013,8184,1113,2544,0,2411.66,6.2,827,215
12/3/2013,8388.25,1088,2535,0,2242.69,6.8,832,215
12/4/2013,8722.43,1070,2299,0,2195.61,6.8,826,218
12/5/2013,8521.75,1034,2295,0,2217.41,6.5,822,216
12/6/2013,8342.01,1024,2285,0,1235.28,5.6,814,220
12/7/2013,8825.12,1046,2285,0,1271.99,5.4,801,224
12/8/2013,9105.86,1074,2305,0,1245.73,4.9,826,212
12/9/2013,8924.93,1075,2579,0,1355.09,5.1,853,220
12/10/2013,8686.35,1048,2480,0,1395.98,4.9,854,226
12/11/2013,8497.86,1017,2576,0,1944.17,4.7,840,214
12/12/2013,8435.58,992,2746,0,2367.39,5.2,857,204
12/13/2013,8530.76,988,2557,0,2380.22,5.6,862,199
12/14/2013,8634.93,992,3057,0,2342.91,5.7,855,198.33
12/15/2013,8594.27,1028,4133,0,2370.28,5.7,865,197.67
12/16/2013,8543.75,1034,3447,0,2405.07,5.8,868,197
12/17/2013,8591.96,1010,2796,0,2319.11,5.8,862,202
12/18/2013,8438.8,995,1355,0,2343.28,5.6,863,210
12/19/2013,9376.63,972,3743,0,2306.9,5.6,873,214
12/20/2013,8585.25,959,3457,0,2308.49,5.2,868,209
12/21/2013,8896.2,970,3198,0,2323.37,4.8,864,206
12/22/2013,9022.9,976,3066,0,2366.58,4.3,854,196
12/23/2013,8816.68,976,3000,0,2344.78,4.2,871,197
12/24/2013,8704.44,980,2431,0,2415.49,4.2,884,204
12/25/2013,8726.09,983,3015,0,2366.68,4,906,203
12/26/2013,8446.9,983,3035,0,2394.87,4.1,918,200
12/27/2013,8310.91,986,2979,0,2290.57,4.8,961,198
12/28/2013,8197.26,969,2533,0,2409.64,5.4,921,196
12/29/2013,8339.84,970,2522,0,2356.04,6,907,202
12/30/2013,8145.57,981,2531,0,2352.22,6.4,920,198
12/31/2013,8191.79,990,2082,0,2368.32,6.7,930,199
1/1/2014,8273.01,987,2763,0,2435.85,6.9,943,195
1/2/2014,8387.02,981,1698,0,2443.32,6.6,959,193
1/3/2014,8140.7,979,2054,0,2441.12,6.2,977,196
1/4/2014,8267.06,957,2050,0,2445.91,5.7,973,196
1/5/2014,8458.88,944,1996,0,2453.76,5,975,199
1/6/2014,8276.02,939,2016,0,2311.57,4.8,971,198
1/7/2014,7881.82,890,2544,0,2381.86,4.8,1015,208
1/8/2014,7563.48,842,2285,0,2177.81,4.5,1021,204
1/9/2014,7048.1,800,1590,0,2319.01,4.8,1018,211
1/10/2014,6872.65,792,1518,0,2370.13,5.2,1032,218
1/11/2014,6244.17,788,1452,0,2240.64,5.4,1041,217
1/12/2014,7061.94,781,1318,0,2321.9,5.6,1053,220
1/13/2014,6601.78,773,1547,0,2375.01,5.7,1052,226
1/14/2014,6563.08,718,1753,0,2438.02,5.8,1016,224
1/15/2014,6674.27,682,1671,0,2517.08,5.5,1040,226
1/16/2014,6474.75,687,1254,0,2538.41,5.5,1042,226
1/17/2014,6379.47,718,1335,0,2532.38,5.3,951,230
1/18/2014,6125.38,755,1524,0,2511.78,5,922,228
1/19/2014,6182.27,811,1575,0,2544.45,4.7,947,228
1/20/2014,6307.35,835,1569,0,2561.25,4.3,1003,234
1/21/2014,6168.08,831,1561,0,2572.88,4.1,993,225
1/22/2014,5804.52,832,1541,0,2557.48,3.7,1009,216
1/23/2014,5973.15,835,1456,0,2536.57,3.9,978,233
1/24/2014,5975.76,872,1568,0,2592.36,4.4,972,228
1/25/2014,5824.84,912,1549,0,2629.44,4.9,982,216
1/26/2014,5656.84,939,1517,0,2548.06,5.5,960,223
